time,California,Oregon,Colorado,Montana,Washington,Utah,Wyoming,Idaho,New Mexico,Nevada,Arizona,South Dakota
2013-01-01,-3.1750740740740717,-2.964444444444444,3.5912962962962967,1.7253703703703698,-2.8674074074074056,0.37055555555555575,2.0438888888888886,1.08537037037037,-0.36555555555555586,1.3112962962962955,-2.795,1.3014814814814817
2013-01-08,-3.2950740740740727,-3.264444444444443,3.491296296296297,1.3253703703703694,-4.16740740740741,0.32055555555555504,1.8438888888888876,0.7853703703703694,-0.565555555555556,1.2112962962962959,-2.595,0.601481481481482
2013-01-15,-3.745074074074072,-4.064444444444444,3.0912962962962967,0.7253703703703698,-5.617407407407406,-0.12944444444444425,1.3938888888888883,-0.5146296296296313,-0.46555555555555594,0.41129629629629605,-2.795,0.3514814814814815
2013-01-22,-2.870074074074072,-3.964444444444444,3.0912962962962967,0.6253703703703692,-5.667407407407406,-0.2794444444444446,1.3438888888888885,-0.6646296296296299,-0.6655555555555557,0.3112962962962955,-2.795,-0.14851851851851805
2013-01-29,-3.2700740740740724,-6.064444444444444,1.5912962962962967,0.42537037037036995,-6.517407407407408,-1.179444444444445,0.7438888888888879,-1.6646296296296317,-1.4655555555555555,-0.9887037037037043,-2.795,-0.24851851851851858
2013-02-05,-3.2250740740740724,-6.464444444444444,1.0912962962962967,-0.8746296296296308,-8.317407407407408,-1.929444444444445,0.29388888888888864,-2.064629629629632,-1.8655555555555559,-1.7887037037037041,-2.295,-0.9485185185185183
2013-02-12,-3.4750740740740724,-7.1644444444444435,0.5912962962962967,-0.8746296296296308,-8.967407407407407,-2.479444444444445,0.1438888888888883,-2.814629629629632,-2.065555555555556,-2.4887037037037043,-2.695,-1.398518518518518
2013-02-19,-3.5650740740740723,-7.064444444444444,-0.008703703703702992,-1.57462962962963,-9.317407407407408,-2.679444444444443,-0.3561111111111117,-3.364629629629631,-2.065555555555556,-2.4887037037037043,-2.495,-2.148518518518518
2013-02-26,-3.9750740740740724,-9.364444444444445,-0.508703703703703,-1.9746296296296304,-12.117407407407406,-3.5794444444444453,-0.7561111111111121,-4.114629629629631,-3.4655555555555555,-3.1887037037037036,-3.195,-2.3485185185185182
2013-03-05,-4.135074074074073,-9.164444444444444,-1.508703703703703,-2.3746296296296308,-12.91740740740741,-4.329444444444445,-1.1561111111111124,-4.564629629629632,-3.4655555555555555,-3.4887037037037043,-2.395,-2.648518518518518
2013-03-12,-5.455074074074073,-9.764444444444443,-2.3087037037037037,-2.774629629629631,-13.067407407407408,-4.879444444444446,-1.4561111111111114,-5.164629629629632,-4.765555555555556,-3.9887037037037043,-3.395,-2.848518518518519
2013-03-19,-3.775074074074073,-8.364444444444445,-2.6087037037037026,-3.07462962962963,-13.467407407407407,-4.429444444444443,-1.8561111111111117,-4.964629629629631,-2.9655555555555555,-3.4887037037037043,0.705,-2.9485185185185188
2013-03-26,-3.4750740740740724,-8.364444444444445,-3.008703703703703,-3.4746296296296304,-15.917407407407406,-5.029444444444445,-2.6561111111111124,-6.214629629629631,-2.365555555555556,-3.3887037037037047,1.105,-3.648518518518518
2013-04-02,-1.5950740740740734,-6.064444444444444,-2.9087037037037033,-2.6746296296296297,-14.217407407407407,-3.929444444444445,-2.706111111111113,-5.114629629629633,-0.16555555555555568,-3.588703703703704,1.105,-3.398518518518518
2013-04-09,0.8249259259259283,-4.064444444444444,-2.4087037037037033,-3.274629629629631,-13.867407407407406,-2.929444444444445,-3.1061111111111117,-4.614629629629631,2.634444444444444,-3.1887037037037036,1.105,-1.3485185185185182
2013-04-16,4.189925925925928,-1.764444444444444,-4.208703703703702,-3.8746296296296308,-15.067407407407408,-3.6294444444444443,-4.156111111111112,-4.514629629629631,2.634444444444444,-1.3887037037037047,1.105,-2.5485185185185184
2013-04-23,6.8599259259259275,1.3355555555555565,-5.708703703703702,-3.774629629629631,-14.467407407407407,-3.6294444444444443,-5.456111111111111,-4.064629629629632,2.634444444444444,-0.08870370370370395,1.105,-3.348518518518519
2013-04-30,9.804925925925927,5.435555555555556,-2.9087037037037033,-2.1746296296296297,-12.017407407407404,1.1205555555555557,-4.056111111111111,-0.11462962962963097,2.634444444444444,5.011296296296296,1.105,-1.3485185185185191
2013-05-07,9.649925925925928,5.435555555555556,-1.8087037037037037,0.12537037037036924,-8.017407407407408,5.070555555555555,-3.5061111111111103,3.5353703703703694,2.634444444444444,5.011296296296296,1.105,2.0514814814814817
2013-05-14,10.024925925925928,5.435555555555556,0.7912962962962968,7.02537037037037,-0.5174074074074078,5.470555555555555,2.2938888888888886,9.485370370370369,2.634444444444444,5.011296296296296,1.105,2.9514814814814816
2013-05-21,10.024925925925928,5.435555555555556,6.191296296296297,7.02537037037037,4.282592592592593,5.470555555555555,6.193888888888888,9.485370370370369,2.634444444444444,5.011296296296296,1.105,2.9514814814814816
2013-05-28,10.024925925925928,5.435555555555556,7.991296296296297,7.02537037037037,7.782592592592593,5.470555555555555,8.143888888888888,9.485370370370369,2.634444444444444,5.011296296296296,1.105,2.9514814814814816
2013-06-04,10.024925925925928,5.435555555555556,7.991296296296297,7.02537037037037,14.282592592592593,5.470555555555555,8.143888888888888,9.485370370370369,2.634444444444444,5.011296296296296,1.105,2.9514814814814816
2013-06-11,10.024925925925928,5.435555555555556,7.991296296296297,7.02537037037037,14.282592592592593,5.470555555555555,8.143888888888888,9.485370370370369,2.634444444444444,5.011296296296296,1.105,2.9514814814814816
2013-06-18,10.024925925925928,5.435555555555556,7.991296296296297,7.02537037037037,14.282592592592593,5.470555555555555,8.143888888888888,9.485370370370369,2.634444444444444,5.011296296296296,1.105,2.9514814814814816
2013-06-25,10.024925925925928,5.435555555555556,7.991296296296297,7.02537037037037,14.282592592592593,5.470555555555555,8.143888888888888,9.485370370370369,2.634444444444444,5.011296296296296,1.105,2.9514814814814816
2013-12-03,9.324925925925928,4.8355555555555565,3.691296296296297,2.7253703703703698,11.182592592592593,3.1705555555555556,3.1438888888888883,5.7853703703703685,0.38444444444444414,3.9112962962962956,0.20499999999999996,0.2014814814814816
2013-12-10,8.049925925925928,4.185555555555556,2.5912962962962967,2.42537037037037,11.182592592592593,2.020555555555555,2.943888888888888,5.5353703703703685,0.13444444444444414,3.0612962962962955,-1.1949999999999998,-0.4485185185185183
2013-12-17,7.924925925925928,4.185555555555556,2.491296296296297,2.1253703703703692,10.982592592592592,1.9205555555555556,2.7938888888888886,5.2853703703703685,-0.16555555555555568,2.961296296296296,-1.395,-0.6485185185185185
2013-12-24,7.844925925925928,3.685555555555556,1.991296296296297,1.2253703703703698,10.082592592592594,1.0205555555555552,2.193888888888888,4.135370370370369,-0.36555555555555586,2.2612962962962957,-1.6949999999999998,-0.9985185185185186
2013-12-31,7.864925925925927,3.735555555555556,1.7912962962962968,1.0253703703703696,9.882592592592593,0.9705555555555554,1.9438888888888881,3.9853703703703687,-0.36555555555555586,2.4112962962962956,-1.6949999999999998,-1.5485185185185184
2014-01-07,7.894925925925928,3.835555555555556,1.3912962962962974,0.12537037037036924,9.882592592592593,0.8705555555555557,1.3938888888888883,3.885370370370369,-0.4155555555555557,2.4112962962962956,-1.5950000000000002,-1.898518518518518
2014-01-14,7.804925925925927,2.435555555555556,0.39129629629629736,-1.1746296296296297,4.982592592592592,0.2205555555555554,0.34388888888888847,1.6853703703703689,-0.36555555555555586,1.7112962962962959,-1.0950000000000002,-2.7985185185185184
2014-01-21,7.844925925925928,2.435555555555556,0.29129629629629683,-1.2746296296296311,5.282592592592593,0.32055555555555504,0.3938888888888883,1.6853703703703689,-0.31555555555555603,1.7112962962962959,-0.395,-3.148518518518518
2014-01-28,7.844925925925928,2.5855555555555565,0.19129629629629719,-1.57462962962963,5.182592592592593,0.37055555555555575,0.09388888888888758,1.6853703703703689,-0.11555555555555586,1.7112962962962959,-0.19500000000000006,-3.2985185185185184
2014-02-04,6.834925925925927,2.0355555555555562,-2.2087037037037023,-2.774629629629631,3.5825925925925937,-0.8294444444444444,-0.9061111111111124,0.13537037037036725,-0.01555555555555621,0.5112962962962957,-0.09499999999999997,-3.4485185185185188
2014-02-11,4.274925925925928,0.3355555555555565,-3.8087037037037037,-3.274629629629631,1.8825925925925926,-2.7794444444444446,-2.706111111111113,-1.66462962962963,-0.2155555555555555,-1.6887037037037045,0.605,-4.048518518518518
2014-02-18,4.524925925925928,-0.764444444444444,-4.308703703703704,-4.274629629629631,-3.4174074074074063,-2.879444444444446,-4.656111111111112,-4.164629629629632,0.3344444444444443,-2.1887037037037045,1.105,-4.548518518518518
2014-02-25,4.724925925925928,-1.6644444444444435,-4.808703703703704,-5.874629629629631,-7.917407407407406,-2.8794444444444443,-6.256111111111112,-6.064629629629632,1.2344444444444442,-2.3887037037037047,1.105,-4.848518518518518
2014-03-04,1.5749259259259283,-1.8644444444444437,-6.408703703703703,-7.374629629629631,-9.617407407407406,-3.8294444444444453,-7.456111111111111,-7.614629629629633,0.43444444444444397,-4.088703703703704,1.105,-5.148518518518518
2014-03-11,1.4349259259259277,-0.4644444444444442,-7.008703703703703,-8.97462962962963,-10.017407407407408,-4.729444444444444,-8.25611111111111,-8.114629629629633,0.18444444444444397,-4.588703703703704,1.105,-5.248518518518518
2014-03-18,2.544925925925927,0.13555555555555632,-7.508703703703703,-9.67462962962963,-11.017407407407408,-4.879444444444444,-9.356111111111112,-8.314629629629628,0.5344444444444445,-4.338703703703704,1.105,-6.048518518518518
2014-03-25,4.124925925925927,0.9355555555555561,-8.008703703703702,-9.97462962962963,-11.317407407407408,-4.379444444444446,-9.556111111111111,-8.41462962962963,2.284444444444444,-3.7387037037037043,1.105,-5.998518518518518
